pkg_received_utc_ts,package_tracking_number,scac,Pallet,Linehaul,Partition
90.62314821711459,PKG000001,UPSN,1,A,UPSN
90.62314821711459,PKG000002,TLMD,1,A,1
90.62314821711459,PKG000003,USPS,1,A,USPS
90.62314821711459,PKG000004,TLMD,1,A,1
90.62314821711459,PKG000005,TLMD,1,A,1
90.62314821711459,PKG000006,TLMD,1,A,1
90.62314821711459,PKG000007,USPS,1,A,USPS
90.62314821711459,PKG000008,TLMD,1,A,1
90.62314821711459,PKG000009,TLMD,1,A,3AB
90.62314821711459,PKG000010,UPSN,1,A,UPSN
90.62314821711459,PKG000011,TLMD,1,A,1
90.62314821711459,PKG000012,FDEG,1,A,FDEG
90.62314821711459,PKG000013,TLMD,1,A,1
90.62314821711459,PKG000014,TLMD,1,A,1
90.62314821711459,PKG000015,USPS,1,A,USPS
90.62314821711459,PKG000016,TLMD,1,A,1
90.62314821711459,PKG000017,TLMD,1,A,2
90.62314821711459,PKG000018,UPSN,1,A,UPSN
90.62314821711459,PKG000019,UPSN,1,A,UPSN
90.62314821711459,PKG000020,USPS,1,A,USPS
90.62314821711459,PKG000021,UPSN,1,A,UPSN
90.62314821711459,PKG000022,USPS,1,A,USPS
90.62314821711459,PKG000023,UPSN,1,A,UPSN
90.62314821711459,PKG000024,UPSN,1,A,UPSN
90.62314821711459,PKG000025,UPSN,1,A,UPSN
90.62314821711459,PKG000026,UPSN,1,A,UPSN
90.62314821711459,PKG000027,TLMD,1,A,2
90.62314821711459,PKG000028,UPSN,1,A,UPSN
90.62314821711459,PKG000029,TLMD,1,A,3AB
90.62314821711459,PKG000030,FDEG,1,A,FDEG
90.62314821711459,PKG000031,UPSN,1,A,UPSN
90.62314821711459,PKG000032,UPSN,1,A,UPSN
90.62314821711459,PKG000033,FDEG,1,A,FDEG
90.62314821711459,PKG000034,TLMD,1,A,1
90.62314821711459,PKG000035,UPSN,1,A,UPSN
90.62314821711459,PKG000036,FDEG,1,A,FDEG
90.62314821711459,PKG000037,TLMD,1,A,1
90.62314821711459,PKG000038,UPSN,1,A,UPSN
90.62314821711459,PKG000039,UPSN,1,A,UPSN
90.62314821711459,PKG000040,TLMD,1,A,2
90.62314821711459,PKG000041,UPSN,1,A,UPSN
90.62314821711459,PKG000042,TLMD,1,A,2
90.62314821711459,PKG000043,FDEG,1,A,FDEG
90.62314821711459,PKG000044,TLMD,1,A,1
90.62314821711459,PKG000045,UPSN,1,A,UPSN
90.62314821711459,PKG000046,UPSN,1,A,UPSN
90.62314821711459,PKG000047,UPSN,1,A,UPSN
90.62314821711459,PKG000048,FDEG,1,A,FDEG
90.62314821711459,PKG000049,TLMD,1,A,3AB
90.62314821711459,PKG000050,TLMD,1,A,1
90.62314821711459,PKG000051,TLMD,2,A,1
90.62314821711459,PKG000052,UPSN,2,A,UPSN
90.62314821711459,PKG000053,USPS,2,A,USPS
90.62314821711459,PKG000054,USPS,2,A,USPS
90.62314821711459,PKG000055,TLMD,2,A,1
90.62314821711459,PKG000056,FDEG,2,A,FDEG
90.62314821711459,PKG000057,USPS,2,A,USPS
90.62314821711459,PKG000058,USPS,2,A,USPS
90.62314821711459,PKG000059,UPSN,2,A,UPSN
90.62314821711459,PKG000060,UPSN,2,A,UPSN
90.62314821711459,PKG000061,FDEG,2,A,FDEG
90.62314821711459,PKG000062,TLMD,2,A,1
90.62314821711459,PKG000063,FDEG,2,A,FDEG
90.62314821711459,PKG000064,TLMD,2,A,1
90.62314821711459,PKG000065,UPSN,2,A,UPSN
90.62314821711459,PKG000066,UPSN,2,A,UPSN
90.62314821711459,PKG000067,TLMD,2,A,2
90.62314821711459,PKG000068,TLMD,2,A,2
90.62314821711459,PKG000069,TLMD,2,A,2
90.62314821711459,PKG000070,TLMD,2,A,2
90.62314821711459,PKG000071,USPS,2,A,USPS
90.62314821711459,PKG000072,UPSN,2,A,UPSN
90.62314821711459,PKG000073,TLMD,2,A,2
90.62314821711459,PKG000074,TLMD,2,A,1
90.62314821711459,PKG000075,TLMD,2,A,1
90.62314821711459,PKG000076,TLMD,2,A,1
90.62314821711459,PKG000077,USPS,2,A,USPS
90.62314821711459,PKG000078,FDEG,2,A,FDEG
90.62314821711459,PKG000079,TLMD,2,A,1
90.62314821711459,PKG000080,FDEG,2,A,FDEG
90.62314821711459,PKG000081,TLMD,2,A,3AB
90.62314821711459,PKG000082,TLMD,2,A,1
90.62314821711459,PKG000083,USPS,2,A,USPS
90.62314821711459,PKG000084,USPS,2,A,USPS
90.62314821711459,PKG000085,TLMD,2,A,2
