,pkg_received_utc_ts,package_tracking_number,scac,Pallet,Linehaul,Partition
0,30.056479426834382,PKG000001,TLMD,1,A,2
1,30.056479426834382,PKG000002,TLMD,1,A,3AB
2,30.056479426834382,PKG000003,TLMD,1,A,1
3,30.056479426834382,PKG000004,FDEG,1,A,FDEG
4,30.056479426834382,PKG000005,TLMD,1,A,1
5,30.056479426834382,PKG000006,FDEG,1,A,FDEG
6,30.056479426834382,PKG000007,USPS,1,A,USPS
7,30.056479426834382,PKG000008,TLMD,1,A,1
8,30.056479426834382,PKG000009,TLMD,1,A,3AB
9,30.056479426834382,PKG000010,TLMD,1,A,2
10,30.056479426834382,PKG000011,USPS,1,A,USPS
11,30.056479426834382,PKG000012,USPS,1,A,USPS
12,30.056479426834382,PKG000013,TLMD,1,A,2
13,30.056479426834382,PKG000014,TLMD,1,A,3AB
14,30.056479426834382,PKG000015,TLMD,1,A,3AB
15,30.056479426834382,PKG000016,USPS,1,A,USPS
16,30.056479426834382,PKG000017,TLMD,1,A,2
17,30.056479426834382,PKG000018,USPS,1,A,USPS
18,30.056479426834382,PKG000019,USPS,1,A,USPS
19,30.056479426834382,PKG000020,TLMD,1,A,2
20,30.056479426834382,PKG000021,FDEG,1,A,FDEG
21,30.056479426834382,PKG000022,UPSN,1,A,UPSN
22,30.056479426834382,PKG000023,USPS,1,A,USPS
23,30.056479426834382,PKG000024,TLMD,1,A,2
24,30.056479426834382,PKG000025,TLMD,1,A,1
25,30.056479426834382,PKG000026,FDEG,1,A,FDEG
26,30.056479426834382,PKG000027,TLMD,1,A,1
27,30.056479426834382,PKG000028,FDEG,1,A,FDEG
28,30.056479426834382,PKG000029,TLMD,1,A,3AB
29,30.056479426834382,PKG000030,TLMD,1,A,3AB
30,30.056479426834382,PKG000031,TLMD,1,A,3AB
31,30.056479426834382,PKG000032,TLMD,1,A,2
32,30.056479426834382,PKG000033,TLMD,1,A,1
33,30.056479426834382,PKG000034,USPS,1,A,USPS
34,30.056479426834382,PKG000035,TLMD,1,A,1
35,30.056479426834382,PKG000036,TLMD,1,A,3AB
36,30.056479426834382,PKG000037,TLMD,1,A,2
37,30.056479426834382,PKG000038,TLMD,1,A,2
38,30.056479426834382,PKG000039,TLMD,1,A,1
39,30.056479426834382,PKG000040,TLMD,1,A,1
40,30.056479426834382,PKG000041,TLMD,1,A,2
41,30.056479426834382,PKG000042,TLMD,1,A,2
42,30.056479426834382,PKG000043,TLMD,1,A,3AB
43,30.056479426834382,PKG000044,TLMD,1,A,2
44,30.056479426834382,PKG000045,TLMD,1,A,1
45,30.056479426834382,PKG000046,TLMD,1,A,1
46,30.056479426834382,PKG000047,TLMD,1,A,3AB
47,30.056479426834382,PKG000048,FDEG,1,A,FDEG
48,30.056479426834382,PKG000049,FDEG,1,A,FDEG
49,30.056479426834382,PKG000050,TLMD,1,A,3AB
50,30.056479426834382,PKG000051,TLMD,1,A,2
51,30.056479426834382,PKG000052,TLMD,1,A,1
52,30.056479426834382,PKG000053,TLMD,1,A,1
53,30.056479426834382,PKG000054,UPSN,1,A,UPSN
54,30.056479426834382,PKG000055,TLMD,1,A,2
55,30.056479426834382,PKG000056,USPS,1,A,USPS
56,30.056479426834382,PKG000057,UPSN,1,A,UPSN
57,30.056479426834382,PKG000058,TLMD,1,A,3AB
58,30.056479426834382,PKG000059,TLMD,2,A,1
59,30.056479426834382,PKG000060,TLMD,2,A,2
60,30.056479426834382,PKG000061,USPS,2,A,USPS
61,30.056479426834382,PKG000062,TLMD,2,A,2
62,30.056479426834382,PKG000063,FDEG,2,A,FDEG
63,30.056479426834382,PKG000064,USPS,2,A,USPS
64,30.056479426834382,PKG000065,TLMD,2,A,2
65,30.056479426834382,PKG000066,USPS,2,A,USPS
66,30.056479426834382,PKG000067,TLMD,2,A,1
67,30.056479426834382,PKG000068,TLMD,2,A,1
68,30.056479426834382,PKG000069,TLMD,2,A,2
69,30.056479426834382,PKG000070,TLMD,2,A,3AB
70,30.056479426834382,PKG000071,TLMD,2,A,1
71,30.056479426834382,PKG000072,USPS,2,A,USPS
72,30.056479426834382,PKG000073,UPSN,2,A,UPSN
73,30.056479426834382,PKG000074,FDEG,2,A,FDEG
74,30.056479426834382,PKG000075,TLMD,2,A,1
75,30.056479426834382,PKG000076,TLMD,2,A,1
76,30.056479426834382,PKG000077,FDEG,2,A,FDEG
77,30.056479426834382,PKG000078,TLMD,2,A,3AB
78,30.056479426834382,PKG000079,TLMD,2,A,3AB
79,30.056479426834382,PKG000080,USPS,2,A,USPS
80,30.056479426834382,PKG000081,FDEG,2,A,FDEG
81,30.056479426834382,PKG000082,UPSN,2,A,UPSN
82,30.056479426834382,PKG000083,FDEG,2,A,FDEG
83,30.056479426834382,PKG000084,TLMD,2,A,2
84,30.056479426834382,PKG000085,TLMD,2,A,2
85,30.056479426834382,PKG000086,USPS,2,A,USPS
86,30.056479426834382,PKG000087,TLMD,2,A,2
87,30.056479426834382,PKG000088,TLMD,2,A,2
88,30.056479426834382,PKG000089,TLMD,2,A,2
89,30.056479426834382,PKG000090,TLMD,2,A,1
90,30.056479426834382,PKG000091,USPS,2,A,USPS
91,30.056479426834382,PKG000092,TLMD,2,A,1
92,30.056479426834382,PKG000093,TLMD,2,A,2
93,30.056479426834382,PKG000094,TLMD,2,A,1
94,30.056479426834382,PKG000095,TLMD,2,A,2
95,30.056479426834382,PKG000096,TLMD,2,A,1
96,30.056479426834382,PKG000097,TLMD,2,A,3AB
97,30.056479426834382,PKG000098,TLMD,2,A,3AB
98,30.056479426834382,PKG000099,TLMD,2,A,3AB
99,30.056479426834382,PKG000100,TLMD,2,A,2
